,Symbol,LTP,% Change,Open,High,Low,Qty.
889,SPC,537.10,-2.88,557.00,535.00,552.90,"38,565"
890,SPDL,326.00,-1.95,338.00,323.40,338.00,"175,429"
891,SPHL,791.00,1.93,791.00,770.00,787.90,"8,552"
892,SPIL,849.00,-1.27,877.00,835.00,864.00,"19,408"
893,SPL,990.00,1.02,999.60,963.00,999.60,"14,117"
894,SRLI,441.80,-0.7,449.80,439.00,444.00,"42,365"
895,SSHL,253.60,1.48,260.00,245.00,245.00,"364,502"
896,STC,"5,923.00",-1.28,"6,030.00","5,801.10","6,000.00","4,077"
897,SWBBL,899.90,-1.11,900.00,885.00,895.00,"6,478"
898,SWMF,807.00,-0.86,819.70,802.40,819.70,"2,810"
899,TAMOR,566.50,5.49,582.00,533.00,538.00,"241,571"
900,TPC,563.50,-1.14,580.00,559.70,580.00,"57,740"
901,TRH,"1,170.00",-6.1,"1,228.00","1,147.60","1,221.10","33,780"
902,TSHL,905.00,0.44,930.00,893.00,893.00,"15,559"
903,TVCL,512.00,-2.1,530.00,508.90,530.00,"25,956"
904,UAIL,658.00,-1.33,668.00,655.00,666.00,"14,479"
905,UHEWA,745.00,-2.42,760.00,727.00,750.00,"29,851"
906,ULBSL,"3,137.00",-1.08,"3,200.00","3,115.00","3,115.00","2,609"
907,ULHC,493.00,-3.33,515.00,491.00,510.00,"77,409"
908,UMHL,343.50,-3.24,362.00,343.00,355.00,"118,567"
909,UMRH,669.00,-0.59,683.00,660.10,673.00,"144,049"
910,UNHPL,302.50,-2.1,312.30,299.00,308.00,"78,478"
911,UNL,"46,167.00",-1.35,"46,500.00","46,165.00","46,500.00",60
912,UNLB,"2,502.10",-0.91,"2,570.00","2,491.20","2,526.00","3,589"
913,UPCL,296.10,-2.6,308.00,296.10,307.00,"192,414"
914,UPPER,215.60,-0.74,222.00,214.00,221.50,"234,261"
915,USHEC,607.00,-1.62,630.00,604.00,629.00,"32,239"
916,USHL,775.00,-1.15,784.90,770.00,770.00,"8,976"
917,USLB,"1,580.00",-2.17,"1,640.00","1,580.00","1,611.00","3,254"
918,VLBS,890.00,-1.11,918.00,885.00,900.00,"3,644"
919,VLUCL,697.00,2.5,721.00,680.00,680.00,"141,337"
920,WNLB,"2,669.00",1.87,"2,708.00","2,581.10","2,581.10","4,723"
